GeneID	Symbol	EnsemblGeneID
116362	RBP7	ENSG00000162444
10277	UBE4B	ENSG00000130939
23095	KIF1B	ENSG00000054523
5226	PGD	ENSG00000142657
100526739	CENPS-CORT	ENSG00000251503
378708	CENPS	ENSG00000175279
1325	CORT	ENSG00000241563
1676	DFFA	ENSG00000160049
5195	PEX14	ENSG00000142655
54897	CASZ1	ENSG00000130940
148345	C1orf127	ENSG00000175262
23435	TARDBP	ENSG00000120948
10747	MASP2	ENSG00000009724
6723	SRM	ENSG00000116649
5394	EXOSC10	ENSG00000171824
105376736	EXOSC10-AS1	ENSG00000230337
2475	MTOR	ENSG00000198793
100873935	MTOR-AS1	ENSG00000225602
10218	ANGPTL7	ENSG00000171819
29914	UBIAD1	ENSG00000120942
57540	DISP3	ENSG00000204624
101929181	LINC01647	ENSG00000235643
26232	FBXO2	ENSG00000116661
93611	FBXO44	ENSG00000132879
26270	FBXO6	ENSG00000116663
10459	MAD2L2	ENSG00000116670
374946	DRAXIN	ENSG00000162490
57085	AGTRAP	ENSG00000177674
284498	C1orf167	ENSG00000215910
102724659	C1orf167-AS1	ENSG00000177553
4524	MTHFR	ENSG00000177000
1185	CLCN6	ENSG00000011021
4878	NPPA	ENSG00000175206
4879	NPPB	ENSG00000120937
26829	RNU5E-1	ENSG00000199347
90231	KIAA2013	ENSG00000116685
5351	PLOD1	ENSG00000083444
9927	MFN2	ENSG00000116688
60672	MIIP	ENSG00000116691
102466982	MIR6729	ENSG00000276869
943	TNFRSF8	ENSG00000120949
102465836	MIR7846	ENSG00000283789
7133	TNFRSF1B	ENSG00000028137
100616438	MIR4632	ENSG00000263676
55187	VPS13D	ENSG00000048707
677885	SNORA59A	ENSG00000239149
9249	DHRS3	ENSG00000162496
102466722	MIR6730	ENSG00000276830
343066	AADACL4	ENSG00000204518
126767	AADACL3	ENSG00000188984
93190	CFAP107	ENSG00000157330
390999	PRAMEF12	ENSG00000116726
65121	PRAMEF1	ENSG00000116721
105376745	LINC01784	ENSG00000228338
440560	PRAMEF11	ENSG00000239810
343069	HNRNPCL1	ENSG00000179172
65122	PRAMEF2	ENSG00000120952
400735	PRAMEF4	ENSG00000243073
343071	PRAMEF10	ENSG00000187545
441871	PRAMEF7	ENSG00000204510
440561	PRAMEF6	ENSG00000232423
101929983	PRAMEF27	ENSG00000274764
649330	HNRNPCL3	ENSG00000277058
441873	PRAMEF25	ENSG00000229571
440563	HNRNPCL2	ENSG00000275774
645359	PRAMEF26	ENSG00000280267
101060301	HNRNPCL4	ENSG00000179412
343070	PRAMEF9	ENSG00000204505
400736	PRAMEF13	ENSG00000279169
391003	PRAMEF18	ENSG00000279804
343068	PRAMEF5	ENSG00000270601
391002	PRAMEF8	ENSG00000182330
645382	PRAMEF33	ENSG00000237700
653619	PRAMEF15	ENSG00000204501
729528	PRAMEF14	ENSG00000204481
645414	PRAMEF19	ENSG00000204480
391004	PRAMEF17	ENSG00000204479
645425	PRAMEF20	ENSG00000204478
126755	LRRC38	ENSG00000162494
107984918	LOC107984918	ENSG00000259961
10630	PDPN	ENSG00000162493
7799	PRDM2	ENSG00000116731
23254	KAZN	ENSG00000189337
105376762	KAZN-AS1	ENSG00000234593
200197	TMEM51-AS1	ENSG00000175147
55092	TMEM51	ENSG00000171729
114827	FHAD1	ENSG00000142621
101927417	FHAD1-AS1	ENSG00000233485
79180	EFHD2	ENSG00000142634
11330	CTRC	ENSG00000162438
63036	CELA2A	ENSG00000142615
51032	CELA2B	ENSG00000215704
842	CASP9	ENSG00000132906
23341	DNAJC16	ENSG00000116138
107397391	SCARNA21B	ENSG00000251866
79814	AGMAT	ENSG00000116771
84301	DDI2	ENSG00000197312
6248	RSC1A1	ENSG00000215695
23207	PLEKHM2	ENSG00000116786
284723	SLC25A34	ENSG00000162461
110806303	SLC25A34-AS1	ENSG00000224459
388595	TMEM82	ENSG00000162460
54751	FBLIM1	ENSG00000162458
440567	UQCRHL	ENSG00000233954
729614	SPEN-AS1	ENSG00000179743
23013	SPEN	ENSG00000065526
7709	ZBTB17	ENSG00000116809
149563	SRARP	ENSG00000183888
27129	HSPB7	ENSG00000173641
1187	CLCNKA	ENSG00000186510
1188	CLCNKB	ENSG00000184908
348487	FAM131C	ENSG00000185519
1969	EPHA2	ENSG00000142627
128272	ARHGEF19	ENSG00000142632
79363	CPLANE2	ENSG00000132881
54455	FBXO42	ENSG00000037637
26099	SZRD1	ENSG00000055070
374955	SPATA21	ENSG00000187144
55707	NECAP2	ENSG00000157191
107984921	LINC01772	ENSG00000226029
114819	CROCCP3	ENSG00000290842
26871	RNU1-1	ENSG00000206652
100132147	LINC01783	ENSG00000233421
55672	NBPF1	ENSG00000219481
84809	CROCCP2	ENSG00000291072
26869	RNU1-3	ENSG00000207513
6060	RNU1-4	ENSG00000207389
11223	MST1L	ENSG00000186715
100500876	MIR3675	ENSG00000263811
112267871	LOC112267871	ENSG00000228549
105376805	LOC105376805	ENSG00000238142
26870	RNU1-2	ENSG00000207005
9696	CROCC	ENSG00000058453
4237	MFAP2	ENSG00000117122
23400	ATP13A2	ENSG00000159363
6390	SDHB	ENSG00000117118
11240	PADI2	ENSG00000117115
400743	LINC02783	ENSG00000204362
29943	PADI1	ENSG00000142623
51702	PADI3	ENSG00000142619
100616188	MIR3972	ENSG00000266634
23569	PADI4	ENSG00000159339
353238	PADI6	ENSG00000276747
55920	RCC2	ENSG00000179051
55160	ARHGEF10L	ENSG00000074964
107984028	LINC02810	ENSG00000236648
81569	ACTL8	ENSG00000117148
101927876	LINC01654	ENSG00000261781
84966	IGSF21	ENSG00000117154
127707	KLHDC7A	ENSG00000179023
5081	PAX7	ENSG00000009709
80834	TAS1R2	ENSG00000179002
8659	ALDH4A1	ENSG00000159423
100616120	MIR4695	ENSG00000265606
100302276	MIR1290	ENSG00000221662
126917	IFFO2	ENSG00000169991
23352	UBR4	ENSG00000127481
101927895	EMC1-AS1	ENSG00000230424
23065	EMC1	ENSG00000127463
51154	MRTO4	ENSG00000053372
246181	AKR7L	ENSG00000211454
22977	AKR7A3	ENSG00000162482
8574	AKR7A2	ENSG00000053371
54896	SLC66A1	ENSG00000040487
832	CAPZB	ENSG00000077549
105378614	MICOS10-DT	ENSG00000235185
440574	MICOS10	ENSG00000173436
100532736	MICOS10-NBL1	ENSG00000158747
4681	NBL1	ENSG00000158747
3362	HTR6	ENSG00000158748
255104	TMCO4	ENSG00000162542
54546	RNF186	ENSG00000178828
23252	OTUD3	ENSG00000169914
30814	PLA2G2E	ENSG00000188784
5320	PLA2G2A	ENSG00000188257
5322	PLA2G5	ENSG00000127472
26279	PLA2G2D	ENSG00000117215
64600	PLA2G2F	ENSG00000158786
391013	PLA2G2C	ENSG00000187980
127733	UBXN10	ENSG00000162543
105376827	LINC01757	ENSG00000228105
127731	VWA5B1	ENSG00000158816
55450	CAMK2N1	ENSG00000162545
79594	MUL1	ENSG00000090432
163933	FAM43B	ENSG00000183114
978	CDA	ENSG00000158825
65018	PINK1	ENSG00000158828
102464833	MIR6084	ENSG00000284005
100861548	PINK1-AS	ENSG00000117242
1650	DDOST	ENSG00000244038
57576	KIF17	ENSG00000117245
400745	SH2D5	ENSG00000189410
50809	HP1BP3	ENSG00000127483
8672	EIF4G3	ENSG00000075151
100302155	MIR1256	ENSG00000221808
1889	ECE1	ENSG00000117298
100506801	ECE1-AS1	ENSG00000231105
84224	NBPF3	ENSG00000142794
249	ALPL	ENSG00000162551
105376834	LINC02596	ENSG00000233431
5909	RAP1GAP	ENSG00000076864
84196	USP48	ENSG00000090686
401944	LDLRAD2	ENSG00000187942
3339	HSPG2	ENSG00000142798
23436	CELA3B	ENSG00000219073
10136	CELA3A	ENSG00000142789
101928043	LINC01635	ENSG00000228397
29092	LINC00339	ENSG00000218510
998	CDC42	ENSG00000070831
54361	WNT4	ENSG00000162552
100616433	MIR4418	ENSG00000266564
9923	ZBTB40	ENSG00000184677
2046	EPHA8	ENSG00000070886
102466615	MIR6127	ENSG00000276835
712	C1QA	ENSG00000173372
714	C1QC	ENSG00000159189
713	C1QB	ENSG00000173369
2048	EPHB2	ENSG00000133216
100616391	MIR4684	ENSG00000265422
100422914	MIR4253	ENSG00000264014
646262	LACTBL1	ENSG00000215906
729059	TEX46	ENSG00000227868
23028	KDM1A	ENSG00000004487
100422866	MIR3115	ENSG00000263793
7798	LUZP1	ENSG00000169641
3352	HTR1D	ENSG00000179546
10236	HNRNPR	ENSG00000125944
80818	ZNF436	ENSG00000125945
148898	ZNF436-AS1	ENSG00000249087
6920	TCEA3	ENSG00000204219
55616	ASAP3	ENSG00000088280
1870	E2F2	ENSG00000007968
3399	ID3	ENSG00000117318
259283	MDS2	ENSG00000197880
6135	RPL11	ENSG00000142676
6924	ELOA	ENSG00000011007
100506963	ELOA-AS1	ENSG00000236810
57095	PITHD1	ENSG00000057757
105376860	LOC105376860	ENSG00000289835
11313	LYPLA2	ENSG00000011009
2582	GALE	ENSG00000117308
3155	HMGCL	ENSG00000117305
2517	FUCA1	ENSG00000179163
1269	CNR2	ENSG00000188822
100616492	MIR378F	ENSG00000264926
55629	PNRC2	ENSG00000189266
10772	SRSF10	ENSG00000188529
127294	MYOM3	ENSG00000142661
58985	IL22RA1	ENSG00000142677
163702	IFNLR1	ENSG00000185436
284632	LINC02800	ENSG00000230023
57822	GRHL3	ENSG00000158055
90529	STPG1	ENSG00000001460
57185	NIPAL3	ENSG00000001461
100750325	RCAN3AS	ENSG00000286061
11123	RCAN3	ENSG00000117602
400746	NCMAP	ENSG00000184454
10250	SRRM1	ENSG00000133226
25932	CLIC4	ENSG00000169504
864	RUNX3	ENSG00000020633
102465437	MIR6731	ENSG00000278034
100616365	MIR4425	ENSG00000264371
25949	SYF2	ENSG00000117614
57035	RSRP1	ENSG00000117616
6007	RHD	ENSG00000187010
23585	TMEM50A	ENSG00000183726
6006	RHCE	ENSG00000188672
55219	MACO1	ENSG00000204178
26119	LDLRAP1	ENSG00000157978
57134	MAN1C1	ENSG00000117643
57190	SELENON	ENSG00000162430
56181	MTFR1L	ENSG00000117640
79000	AUNIP	ENSG00000127423
164091	PAQR7	ENSG00000182749
3925	STMN1	ENSG00000117632
100500808	MIR3917	ENSG00000283938
5051	PAFAH2	ENSG00000158006
2134	EXTL1	ENSG00000158008
7780	SLC30A2	ENSG00000158014
84676	TRIM63	ENSG00000158022
149420	PDIK1L	ENSG00000175087
79927	FAM110D	ENSG00000197245
110806296	C1orf232	ENSG00000282872
51042	ZNF593	ENSG00000142684
10256	CNKSR1	ENSG00000142675
378807	CATSPER4	ENSG00000188782
101928303	ZPLD2P	ENSG00000236155
64793	CEP85	ENSG00000130695
83442	SH3BGRL3	ENSG00000142669
91544	UBXN11	ENSG00000158062
1043	CD52	ENSG00000169442
55057	CRYBG2	ENSG00000176092
257101	ZNF683	ENSG00000176083
79727	LIN28A	ENSG00000131914
79947	DHDDS	ENSG00000117682
3151	HMGN2	ENSG00000198830
6195	RPS6KA1	ENSG00000117676
100302190	MIR1976	ENSG00000238705
101928728	LOC101928728	ENSG00000260063
8289	ARID1A	ENSG00000117713
55650	PIGV	ENSG00000060642
84243	ZDHHC18	ENSG00000204160
2810	SFN	ENSG00000175793
54707	GPN2	ENSG00000142751
63906	GPATCH3	ENSG00000198746
10726	NUDC	ENSG00000090273
8431	NR0B2	ENSG00000131910
126695	KDF1	ENSG00000175707
388610	TRNP1	ENSG00000253368
115572	TENT5B	ENSG00000158246
6548	SLC9A1	ENSG00000090020
23038	WDTC1	ENSG00000142784
84065	TMEM222	ENSG00000186501
84958	SYTL1	ENSG00000142765
9064	MAP3K6	ENSG00000142733
8547	FCN3	ENSG00000142748
388611	CD164L2	ENSG00000174950
2827	GPR3	ENSG00000181773
10163	WASF2	ENSG00000158195
27245	AHDC1	ENSG00000126705
2268	FGR	ENSG00000000938
111216282	LINC02574	ENSG00000233975
2537	IFI6	ENSG00000126709
199870	FAM76A	ENSG00000009780
23673	STX12	ENSG00000117758
5511	PPP1R8	ENSG00000117751
677774	SCARNA1	ENSG00000252947
9473	THEMIS2	ENSG00000130775
6118	RPA2	ENSG00000117748
27293	SMPDL3B	ENSG00000130768
55113	XKR8	ENSG00000158156
2140	EYA3	ENSG00000158161
5724	PTAFR	ENSG00000169403
22826	DNAJC8	ENSG00000126698
93974	ATP5IF1	ENSG00000130770
83667	SESN2	ENSG00000130766
54797	MED18	ENSG00000130772
65979	PHACTR4	ENSG00000204138
1104	RCC1	ENSG00000180198
8420	SNHG3	ENSG00000242125
6080	SNORA73A	ENSG00000274266
26768	SNORA73B	ENSG00000200087
54952	TRNAU1AP	ENSG00000180098
85028	SNHG12	ENSG00000197989
692212	SNORD99	ENSG00000221539
677838	SNORA61	ENSG00000278274
677825	SNORA44	ENSG00000273544
692073	SNORA16A	ENSG00000280498
115273	RAB42	ENSG00000188060
6883	TAF12	ENSG00000120656
105378616	TAF12-DT	ENSG00000229388
26824	RNU11	ENSG00000274978
10691	GMEB1	ENSG00000162419
51441	YTHDF2	ENSG00000198492
4985	OPRD1	ENSG00000116329
2035	EPB41	ENSG00000159023
399474	TMEM200B	ENSG00000253304
6429	SRSF4	ENSG00000116350
51102	MECR	ENSG00000116353
10076	PTPRU	ENSG00000060656
101928460	LINC01756	ENSG00000230523
101929406	LINC01648	ENSG00000233399
4146	MATN1	ENSG00000162510
100129196	MATN1-AS1	ENSG00000186056
7805	LAPTM5	ENSG00000162511
100616164	MIR4420	ENSG00000264773
105378622	LINC01778	ENSG00000223382
400748	LOC400748	ENSG00000235143
9672	SDC3	ENSG00000162512
9698	PUM1	ENSG00000134644
79570	NKAIN1	ENSG00000084628
9410	SNRNP40	ENSG00000060688
51538	ZCCHC17	ENSG00000121766
2170	FABP3	ENSG00000121769
347735	SERINC2	ENSG00000168528
149086	LDC1P	ENSG00000260386
64129	TINAGL1	ENSG00000142910
3061	HCRTR1	ENSG00000121764
553115	PEF1	ENSG00000162517
1307	COL16A1	ENSG00000084636
576	ADGRB2	ENSG00000121753
100423028	MIR4254	ENSG00000266580
90853	SPOCD1	ENSG00000134668
8073	PTP4A2	ENSG00000184007
10657	KHDRBS1	ENSG00000121774
55116	TMEM39B	ENSG00000121775
100847018	MIR5585	ENSG00000266203
23633	KPNA6	ENSG00000025800
200081	TXLNA	ENSG00000084652
79140	CCDC28B	ENSG00000160050
56063	TMEM234	ENSG00000160055
55721	IQCC	ENSG00000160051
149069	DCDC2B	ENSG00000222046
8668	EIF3I	ENSG00000084623
339483	MTMR9LP	ENSG00000291132
84734	FAM167B	ENSG00000183615
3932	LCK	ENSG00000182866
3065	HDAC1	ENSG00000116478
65108	MARCKSL1	ENSG00000175130
81629	TSSK3	ENSG00000162526
100128071	FAM229A	ENSG00000225828
55108	BSDC1	ENSG00000160058
728116	ZBTB8B	ENSG00000273274
653121	ZBTB8A	ENSG00000160062
339487	ZBTB8OS	ENSG00000176261
5928	RBBP4	ENSG00000162521
81493	SYNC	ENSG00000162520
57648	KIAA1522	ENSG00000162522
8565	YARS1	ENSG00000134684
64766	S100PBP	ENSG00000116497
252995	FNDC5	ENSG00000160097
3208	HPCA	ENSG00000121905
113452	TMEM54	ENSG00000121900
127544	RNF19B	ENSG00000116514
204	AK2	ENSG00000004455
113451	AZIN2	ENSG00000142920
55223	TRIM62	ENSG00000116525
149076	ZNF362	ENSG00000160094
127550	A3GALT2	ENSG00000184389
1912	PHC2	ENSG00000134686
100500853	MIR3605	ENSG00000284154
101929464	PHC2-AS1	ENSG00000233246
7579	ZSCAN20	ENSG00000121903
114784	CSMD2	ENSG00000121904
127540	HMGB4	ENSG00000176256
402779	CSMD2-AS1	ENSG00000231163
84970	C1orf94	ENSG00000142698
693137	MIR552	ENSG00000207941
2709	GJB5	ENSG00000189280
127534	GJB4	ENSG00000189433
2707	GJB3	ENSG00000188910
2701	GJA4	ENSG00000187513
113444	SMIM12	ENSG00000163866
58512	DLGAP3	ENSG00000116544
653160	GPR199P	ENSG00000241014
100506144	TMEM35B	ENSG00000243749
9204	ZMYM6	ENSG00000163867
79830	ZMYM1	ENSG00000197056
105378644	LOC105378644	ENSG00000284640
6421	SFPQ	ENSG00000116560
9202	ZMYM4	ENSG00000146463
100861513	ZMYM4-AS1	ENSG00000227409
79932	KIAA0319L	ENSG00000142687
23154	NCDN	ENSG00000020129
339488	TFAP2E	ENSG00000116819
105378645	TFAP2E-AS1	ENSG00000239636
5690	PSMB2	ENSG00000126067
127703	C1orf216	ENSG00000142686
63967	CLSPN	ENSG00000092853
192670	AGO4	ENSG00000134698
26523	AGO1	ENSG00000092847
192669	AGO3	ENSG00000126070
27285	TEKT2	ENSG00000092850
54936	ADPRS	ENSG00000116863
1296	COL8A2	ENSG00000171812
27095	TRAPPC3	ENSG00000054116
55700	MAP7D1	ENSG00000116871
9967	THRAP3	ENSG00000054118
79729	SH3D21	ENSG00000214193
55194	EVA1B	ENSG00000142694
83931	STK40	ENSG00000196182
84967	LSM10	ENSG00000181817
127700	OSCP1	ENSG00000116885
109616970	SNORA63C	ENSG00000201448
64960	MRPS15	ENSG00000116898
1441	CSF3R	ENSG00000119535
2899	GRIK3	ENSG00000163873
100422898	MIR4255	ENSG00000264698
728431	ZC3H12A-DT	ENSG00000233621
80149	ZC3H12A	ENSG00000163874
102465438	MIR6732	ENSG00000283724
64769	MEAF6	ENSG00000163875
100847010	MIR5581	ENSG00000263675
79753	SNIP1	ENSG00000163877
7802	DNALI1	ENSG00000163879
29889	GNL2	ENSG00000134697
284654	RSPO1	ENSG00000169218
54955	C1orf109	ENSG00000116922
55143	CDCA8	ENSG00000134690
284656	EPHA10	ENSG00000183317
149175	MANEAL	ENSG00000185090
79693	YRDC	ENSG00000196449
127687	C1orf122	ENSG00000197982
4520	MTF1	ENSG00000188786
3633	INPP5B	ENSG00000204084
10946	SF3A3	ENSG00000183431
2275	FHL3	ENSG00000183386
51118	UTP11	ENSG00000183520
5453	POU3F1	ENSG00000185668
100500801	MIR3659	ENSG00000265596
339442	LINC01343	ENSG00000237290
64121	RRAGC	ENSG00000116954
26292	MYCBP	ENSG00000214114
105378663	LOC105378663	ENSG00000228436
81025	GJA9	ENSG00000131233
54933	RHBDL2	ENSG00000158315
79647	AKIRIN1	ENSG00000174574
4725	NDUFS5	ENSG00000168653
23499	MACF1	ENSG00000127603
353500	BMP8A	ENSG00000183682
192217	OXCT2P1	ENSG00000237624
728448	PPIEL	ENSG00000291129
8761	PABPC4	ENSG00000090621
677834	SNORA55	ENSG00000201457
26508	HEYL	ENSG00000163909
84618	NT5C1A	ENSG00000116981
51440	HPCAL4	ENSG00000116983
10450	PPIE	ENSG00000084072
656	BMP8B	ENSG00000116985
64064	OXCT2	ENSG00000198754
105378666	BMP8B-AS1	ENSG00000285905
101929536	LOC101929536	ENSG00000261798
54802	TRIT1	ENSG00000043514
4610	MYCL	ENSG00000116990
105378668	MYCL-AS1	ENSG00000236546
84879	MFSD2A	ENSG00000168389
10487	CAP1	ENSG00000131236
5538	PPT1	ENSG00000131238
6018	RLF	ENSG00000117000
127391	TMCO2	ENSG00000188800
10269	ZMPSTE24	ENSG00000084073
1298	COL9A2	ENSG00000049089
64744	SMAP2	ENSG00000084070
65243	ZFP69B	ENSG00000187801
339559	ZFP69	ENSG00000187815
64789	EXO5	ENSG00000164002
127396	ZNF684	ENSG00000117010
9783	RIMS3	ENSG00000117016
4802	NFYC	ENSG00000066136
407034	MIR30E	ENSG00000198974
407031	MIR30C1	ENSG00000207962
9132	KCNQ4	ENSG00000117013
163732	CITED4	ENSG00000179862
1503	CTPS1	ENSG00000171793
100507178	SLFNL1-AS1	ENSG00000281207
200172	SLFNL1	ENSG00000171790
22955	SCMH1	ENSG00000010803
101929901	FOXO6-AS1	ENSG00000229901
1907	EDN2	ENSG00000127129
59269	HIVEP3	ENSG00000127124
2981	GUCA2B	ENSG00000044012
2980	GUCA2A	ENSG00000197273
22887	FOXJ3	ENSG00000198815
284716	RIMKLA	ENSG00000177181
84217	ZMYND12	ENSG00000066185
728621	CCDC30	ENSG00000186409
79717	PPCS	ENSG00000127125
10465	PPIH	ENSG00000171960
4904	YBX1	ENSG00000065978
149461	CLDN19	ENSG00000164007
64175	P3H1	ENSG00000117385
79078	C1orf50	ENSG00000164008
100129924	TMEM269	ENSG00000274386
374969	SVBP	ENSG00000177868
114625	ERMAP	ENSG00000164010
51058	ZNF691	ENSG00000164011
6513	SLC2A1	ENSG00000117394
440584	SLC2A1-DT	ENSG00000227533
440585	FAM183A	ENSG00000186973
10969	EBNA1BP2	ENSG00000117395
102465439	MIR6733	ENSG00000284410
149465	CFAP57	ENSG00000243710
128218	TMEM125	ENSG00000179178
149466	C1orf210	ENSG00000253313
7075	TIE1	ENSG00000066056
4352	MPL	ENSG00000117400
105378687	CDC20-DT	ENSG00000234694
991	CDC20	ENSG00000117399
64834	ELOVL1	ENSG00000066322
102466723	MIR6734	ENSG00000283836
112950	MED8	ENSG00000159479
23334	SZT2	ENSG00000198198
100873952	SZT2-AS1	ENSG00000229372
102465440	MIR6735	ENSG00000274975
81888	HYI	ENSG00000178922
5792	PTPRF	ENSG00000142949
9682	KDM4A	ENSG00000066135
6487	ST3GAL3	ENSG00000126091
101929592	ST3GAL3-AS1	ENSG00000229444
102464830	MIR6079	ENSG00000283477
9048	ARTN	ENSG00000117407
101929609	LOC101929609	ENSG00000288573
9670	IPO13	ENSG00000117408
1802	DPH2	ENSG00000132768
